artist,album,year,winner
Frank Sinatra,Come Dance With Me!,1960,1
Barbra Streisand,The Barbra Streisand Album,1964,1
Frank Sinatra,September of My Years,1966,1
Frank Sinatra,A Man and His Music,1967,1
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1968,1
Glen Campbell,By the Time I Get to Phoenix,1969,1
"Blood, Sweat & Tears","Blood, Sweat Tears",1970,1
Simon & Garfunkel,Bridge over Troubled Water,1971,1
Carole King,Tapestry,1972,1
George Harrison,The Concert for Bangladesh,1973,1
Stevie Wonder,Innervisions,1974,1
Stevie Wonder,Fulfillingness' First Finale,1975,1
Paul Simon,Still Crazy After All These Years,1976,1
Stevie Wonder,Songs in the Key of Life,1977,1
Fleetwood Mac,Rumours,1978,1
Bee Gees,Saturday Night Fever: The Original Movie Sound Track,1979,1
Billy Joel,52nd Street,1980,1
Christopher Cross,Christopher Cross,1981,1
John Lennon,Double Fantasy,1982,1
Toto,Toto IV,1983,1
Michael Jackson,Thriller,1984,1
Lionel Richie,Can't Slow Down,1985,1
Phil Collins,No Jacket Required,1986,1
Paul Simon,Graceland,1987,1
U2,The Joshua Tree,1988,1
George Michael,Faith,1989,1
Bonnie Raitt,Nick of Time,1990,1
Quincy Jones,Back on the Block,1991,1
Natalie Cole,Unforgettable... with Love,1992,1
Eric Clapton,Unplugged,1993,1
Whitney Houston,The Bodyguard: Original Soundtrack Album,1994,1
Tony Bennett,MTV Unplugged,1995,1
Alanis Morissette,Jagged Little Pill,1996,1
Celine Dion,Falling into You,1997,1
Bob Dylan,Time Out of Mind,1998,1
Lauryn Hill,The Miseducation of Lauryn Hill,1999,1
Santana,Supernatural,2000,1
Steely Dan,Two Against Nature,2001,1
Various Artists,"O Brother, Where Art Thou? (Music from the Motion Picture)",2002,1
Norah Jones,Come Away with Me,2003,1
OutKast,Speakerboxxx/The Love Below,2004,1
Ray Charles,Genius Loves Company,2005,1
U2,How to Dismantle an Atomic Bomb,2006,1
Dixie Chicks,Taking the Long Way,2007,1
Herbie Hancock,River: The Joni Letters,2008,1
Robert Plant & Alison Krauss,Raising Sand,2009,1
Taylor Swift,Fearless,2010,1
Arcade Fire,The Suburbs,2011,1
Adele,21,2012,1
Mumford & Sons,Babel,2013,1
Daft Punk,Random Access Memories,2014,1
Beck,Morning Phase,2015,1
Taylor Swift,1989,2016,1
Adele,25,2017,1
Bruno Mars,24K Magic,2018,1
Jay Z,4 44,2018,0
Sturgill Simpson,A Sailor S Guide to Earth,2017,0
Richard Harris,A Tramp Shining,1969,0
The Beatles,Abbey Road,1970,0
U2,Achtung Baby,1993,0
IndiaArie,Acoustic Soul,2002,0
Steely Dan,Aja,1978,0
U2,All That You Can't Leave Behind,2002,0
George Harrison,All Things Must Pass,1972,0
John Mellencamp,American Fool,1983,0
Green Day,American Idiot,2005,0
Don McLean,American Pie,1973,0
Billy Joel,An Innocent Man,1984,0
Johnny Cash,At San Quentin,1970,0
REM,Automatic for the People,1994,0
Childish Gambino,"Awaken, My Love!",2018,0
John Denver,Back Home Again,1975,0
Steve Winwood,Back in the High Life,1987,0
Amy Winehouse,Back to Black,2008,0
Michael Jackson,Bad,1988,0
Donna Summer,Bad Girls,1980,0
Walt Disney Records,Beauty and the Beast (Original Motion Picture Soundtrack),1993,0
The Weeknd,Beauty Behind the Madness,2016,0
Charlie Rich,Behind Closed Doors,1974,0
Janis Ian,Between the Lines,1976,0
Beyonce,Beyonce,2015,0
Dave Matthews Band,Big Whiskey and the GrooGrux King,2010,0
Jack White,Blunderbuss,2013,0
Simon and Garfunkel,Bookends,1969,0
Bruce Springsteen,Born in the U S A,1985,0
Lady Gaga,Born This Way,2012,0
Supertramp,Breakfast in America,1980,0
Al Jarreau,Breakin' Away,1982,0
George Benson,Breezin',1977,0
Dire Straits,Brothers in Arms,1986,0
Phil Collins,But Seriously,1991,0
Elton John,Captain Fantastic and the Brown Dirt Cowboy,1976,0
Elton John,Caribou,1975,0
Carpenters,Carpenters,1972,0
Frank Ocean,Channel Orange,2013,0
Paul McCartney,Chaos and Creation in the Backyard,2006,0
Chicago,Chicago,1971,0
Chicago,Chicago X,1977,0
Carpenters,Close to You,1971,0
Barbra Streisand,Color Me Barbra,1967,0
Shania Twain,Come on Over,1999,0
Usher,Confessions,2005,0
John Mayer,Continuum,2007,0
Janet Jackson,Control,1987,0
Al Hirt,Cotton Candy Sugar Lips,1965,0
Joni Mitchell,Court and Spark,1975,0
"Crosby, Stills and Nash","Crosby, Stills, Nash",1970,0
Kendrick Lamar,Damn,2018,0
Mariah Carey,Daydream,1996,0
Andy Williams,Days of Wine and Roses and Other TV Requests,1964,0
"Crosby, Stills, Nash and Young",Deja Vu,1971,0
Annie Lennox,Diva,1993,0
Bruno Mars,Doo Wops Hooligans,2012,0
Foo Fighters,"Echoes, Silence, Patience, Grace",2008,0
The Black Keys,El Camino,2013,0
The White Stripes,Elephant,2004,0
Elton John,Elton John,1971,0
Barry Manilow,Even Now,1979,0
Evanescence,Fallen,2004,0
TLC,FanMail,2000,0
Paul McCartney,Flaming Pie,1998,0
Various Artists,Flashdance (Original Motion Picture Soundtrack),1984,0
Dixie Chicks,Fly,2000,0
Frank Sinatra,Francis Albert Sinatra Antonio Carlos Jobim,1968,0
Eric Clapton,From the Cradle,1995,0
Tom Petty,Full Moon Fever,1990,0
Original Broadway Cast of Funny Girl,Funny Girl (Original Broadway Cast Recording),1965,0
Justin Timberlake,FutureSex/LoveSounds,2007,0
Pharrell Williams,G I R L,2015,0
Steely Dan,Gaucho,1982,0
Billy Joel,Glass Houses,1981,0
Kendrick Lamar,Good Kid M A A D City,2014,0
Kanye West,Graduation,2008,0
Barbra Streisand,Guilty,1981,0
Amy Grant,Heart in Motion,1992,0
Linda Ronstadt,Heart Like a Wheel,1976,0
The Beatles,Help,1966,0
Michael Jackson,"History Past, Present and Future, Book I",1996,0
Dixie Chicks,Home,2003,0
Al Hirt,Honey in the Horn,1964,0
Eagles,Hotel California,1978,0
Beyonce,I Am Sasha Fierce,2010,0
Radiohead,In Rainbows,2009,0
Sam Smith,In the Lonely Hour,2015,0
KD Lang,Ingenue,1993,0
Vikki Carr,It Must Be Him,1968,0
Jesus Christ Superstar Original Studio Cast,Jesus Christ Superstar a Rock Opera,1972,0
James Taylor,JT,1978,0
Justin Timberlake,Justified,2004,0
Donald Fagen,Kamakiriad,1994,0
Radiohead,Kid A,2001,0
Roberta Flack,Killing Me Softly,1974,0
Kanye West,Late Registration,2006,0
Beyonce,Lemonade,2017,0
David Bowie,Let's Dance,1984,0
Bonnie Raitt,Longing in Their Hearts,1995,0
Rihanna,Loud,2012,0
Bob Dylan,Love and Theft,2002,0
Gwen Stefani,Love. Angel. Music. Baby.,2006,0
Bonnie Raitt,Luck of the Draw,1992,0
The Beatles,Magical Mystery Tour,1969,0
Mariah Carey,Mariah Carey,1991,0
Smashing Pumpkins,Mellon Collie and the Infinite Sadness,1997,0
Lorde,Melodrama,2018,0
Beck,Midnite Vultures,2001,0
Backstreet Boys,Millennium,2000,0
The Doobie Brothers,Minute by Minute,1980,0
Kim Carnes,Mistaken Identity,1982,0
Neil Diamond,Moods,1973,0
Ed Ames,My Cup Runneth Over,1968,0
Barbra Streisand,My Name is Barbra,1966,0
Eddy Arnold,My World,1966,0
Lady Antebellum,Need You Now,2011,0
Nelly,Nellyville,2003,0
Frank Sinatra,Nice N Easy,1961,0
Harry Nilsson,Nilsson Schmilsson,1973,0
Sting,Nothing Like the Sun,1989,0
Bobbie Gentry,Ode to Billie Joe,1968,0
Beck,Odelay,1997,0
Radiohead,OK Computer,1998,0
Eagles,One of These Nights,1976,0
REM,Out of Time,1992,0
Barbra Streisand,People,1965,0
MC Hammer,Please Hammer Don't Hurt 'Em,1991,0
Tina Turner,Private Dancer,1985,0
Prince and The Revolution,Purple Rain,1985,0
Justin Bieber,Purpose,2017,0
Madonna,Ray of Light,1999,0
Eminem,Recovery,2011,0
Taylor Swift,Red,2014,0
Joan Osborne,Relish,1996,0
The Beatles,Revolver,1967,0
Billy Joel,River of Dreams,1994,0
Steve Winwood,Roll with It,1989,0
Jackson Browne,Running on Empty,1979,0
Seal,Seal,1995,0
Isaac Hayes,Shaft,1972,0
Cyndi Lauper,She's So Unusual,1985,0
Prince,Sign o' the Times,1988,0
Boz Scaggs,Silk Degrees,1977,0
Bobby McFerrin,Simple Pleasures,1989,0
The Rolling Stones,Some Girls,1979,0
Fun,Some Nights,2013,0
Alabama Shakes,Sound & Color,2016,0
Gnarls Barkley,St. Elsewhere,2007,0
Red Hot Chili Peppers,Stadium Arcadium,2007,0
OutKast,Stankonia,2002,0
James Taylor,Sweet Baby James,1971,0
The Police,Synchronicity,1984,0
Katy Perry,Teenage Dream,2011,0
Sting,Ten Summoner's Tales,1994,0
Lil Wayne,Tha Carter III,2009,0
Sara Bareilles,The Blessed Unrest,2014,0
Barbra Streisand,The Broadway Album,1987,0
Kanye West,The College Dropout,2005,0
Babyface,The Day,1998,0
Alicia Keys,The Diary of Alicia Keys,2005,0
Bette Midler,The Divine Miss M,1974,0
Sting,The Dream of the Blue Turtles,1986,0
Quincy Jones,The Dude,1982,0
The Black Eyed Peas,The E N D The Energy Never Dies,2010,0
Mariah Carey,The Emancipation of Mimi,2006,0
Eminem,The Eminem Show,2003,0
Don Henley,The End of the Innocence,1990,0
Lady Gaga,The Fame,2010,0
Lady Gaga,The Fame Monster,2011,0
Kenny Rogers,The Gambler,1980,0
Sheryl Crow,The Globe Sessions,1999,0
Macklemore and Ryan Lewis,The Heist,2014,0
Eminem,The Marshall Mathers LP,2001,0
Donald Fagen,The Nightfly,1983,0
Billy Joel,The Nylon Curtain,1983,0
Fine Young Cannibals,The Raw The Cooked,1990,0
Paul Simon,The Rhythm of the Saints,1992,0
Bruce Springsteen,The Rising,2003,0
Fugees,The Score,1997,0
Richard Rodgers,The Sound of Music (Original Soundtrack Recording),1966,0
Pink Floyd,The Wall,1981,0
Paul Simon,There Goes Rhymin' Simon,1974,0
Vince Gill,These Days,2008,0
Paula Cole,This Fire,1998,0
Kendrick Lamar,To Pimp a Butterfly,2016,0
Tracy Chapman,Tracy Chapman,1989,0
The Traveling Wilburys,Traveling Wilburys Vol 1,1990,0
Chris Stapleton,Traveller,2016,0
Frank Sinatra,Trilogy Past Present Future,1981,0
Dolly Parton Linda Ronstadt and Emmylou Harris,Trio,1988,0
Paul McCartney,Tug of War,1983,0
Missy Elliott,Under Construction,2004,0
Garbage,Version 2 0,1999,0
Drake,Views,2017,0
Pearl Jam,Vitalogy,1996,0
Coldplay,Viva la Vida or Death and All His Friends,2009,0
Various Artists,Waiting to Exhale Original Soundtrack Album,1997,0
Foo Fighters,Wasting Light,2012,0
USA for Africa,We Are the World,1986,0
Diana Krall,When I Look in Your Eyes,2000,0
Whitney Houston,Whitney,1988,0
Whitney Houston,Whitney Houston,1986,0
Nat King Cole,Wild is Love,1961,0
Wilson Phillips,Wilson Phillips,1991,0
Ed Sheeran,X Multiply,2015,0
Ne Yo,Year of the Gentleman,2009,0
Paul Simon,You're the One,2001,0
